"filename", "language", "YAML", "Gradle", "Properties", "C++", "XML", "Swift", "Markdown", "CMake", "JSON", "Dart", "HTML", "comment", "blank", "total"
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\message(1).svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\message.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\money.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\profile.svg", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\starts.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\thumb_up.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Asus\Desktop\admin\admin_dashboard\assets\icons\triner.svg", "XML", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 3
"c:\Users\Asus\Desktop\admin\admin_dashboard\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Asus\Desktop\admin\admin_dashboard\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 1, 123
"c:\Users\Asus\Desktop\admin\admin_dashboard\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"c:\Users\Asus\Desktop\admin\admin_dashboard\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Asus\Desktop\admin\admin_dashboard\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 1, 38
"c:\Users\Asus\Desktop\admin\admin_dashboard\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\Asus\Desktop\admin\admin_dashboard\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\constants\constants.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 2, 4, 19
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\constants\responsive.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 8, 40
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\controllers\auth_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 422, 0, 2, 43, 467
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\controllers\controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 4, 14
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\controllers\gym_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 1, 15, 119
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\core\class\crud.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 9, 11, 126
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\core\class\status_request.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\core\functions\checkinternet.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 1, 2, 17
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\core\functions\handling_data_control.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\data\data.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 5, 94
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\data\remote\test_data.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 3, 5, 32
"c:\Users\Asus\Desktop\admin\admin_dashboard\lib\linkapi.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 6, 3, 47
